,cre_id,sales,date,selling_price,ppc,quotient,flag_min,global,comps1km,comps1km_2km,comps2km_5km,comps5km_10km,comps10km_plus,municipio,entidad,population,Cars,PIB per cápita (MXN),PIB
0,PL/10009/EXP/ES/2015,589326,10/08/24,26.64,26.67666667,0.998666667,0,8.234,0,0,1,0,19,platanar,jalisco,,,272093,2359153
1,PL/10010/EXP/ES/2015,303801,22/08/24,26.62333333,26.61666667,1,0,6.725,0,0,1,2,17,tuxpan,jalisco,37518,16428,272093,2359153
2,PL/10018/EXP/ES/2015,270839,24/08/24,24.96989247,25.01666667,0.998215054,0,6.552333333,0,2,11,7,0,chignautla,puebla,35223,4029,165567,1086962
3,PL/10063/EXP/ES/2015,647779,18/08/24,23.63666667,23.78311111,0.993355556,0,6.355172414,5,9,6,0,0,mexicali,baja california,1049792,736892,325390,1233847
4,PL/10066/EXP/ES/2015,580373,10/08/24,24.14483871,24.32177419,0.992790323,8,5.735,5,12,3,0,0,tijuana,baja california,1922523,1197583,325390,1233847
5,PL/1007/EXP/ES/2015,1527367,05/08/24,26.68,26.69032258,0.999655914,0,5.605,1,4,7,5,3,zapotlan el grande,jalisco,115141,70285,272093,2359153
6,PL/1008/EXP/ES/2015,544361,18/08/24,26.68150538,26.68333333,1.000053763,0,6.350333333,2,3,6,5,3,zapotlan el grande,jalisco,115141,70285,272093,2359153
7,PL/10085/EXP/ES/2015,469217,01/08/24,25.37688172,25.60774194,0.990806452,0,6.405333333,1,0,5,14,0,tarimbaro,michoacan,114513,16579,176843,876341
8,PL/1009/EXP/ES/2015,1735068,31/08/24,26.68,26.69,0.999666667,0,6.331,0,4,8,5,1,zapotlan el grande,jalisco,115141,70285,272093,2359153
9,PL/1010/EXP/ES/2015,377493,28/08/24,26.51,26.375,1.005,0,6.423,0,1,1,10,8,zapotiltic,jalisco,33713,18819,272093,2359153
10,PL/1012/EXP/ES/2015,254036,08/08/24,25.0416129,24.94709677,1.003709677,0,5.238666667,5,15,0,0,0,cuauhtemoc,ciudad de mexico,545884,598264,499492,4652611
11,PL/1014/EXP/ES/2015,333541,01/08/24,25.15451613,25.35698925,0.991913978,37,6.304666667,5,12,3,0,0,irapuato,guanajuato,592953,247810,231175,1457908
12,PL/1017/EXP/ES/2015,538733,31/08/24,26.14,26.115,1.001,5,7.54,1,1,0,2,3,sayula,jalisco,37186,18588,272093,2359153
13,PL/10192/EXP/ES/2015,395471,01/08/24,24.14983871,24.20290323,0.997677419,62,6.693333333,1,0,1,5,5,mexicali,baja california,1049792,736892,325390,1233847
14,PL/1021/EXP/ES/2015,489224,17/08/24,25.24913978,25.07043011,1.006935484,0,5.808,0,3,2,3,1,actopan,hidalgo,61002,17297,172978,558203
15,PL/10216/EXP/ES/2015,238524,01/08/24,24.66956989,24.7155914,0.998172043,0,0,0,0,1,0,1,alvarado,veracruz,57035,18852,165344,1343593
16,PL/1022/EXP/ES/2015,979882,06/08/24,24.21795699,24.81924731,0.975784946,62,0,3,17,0,0,0,ecatepec de morelos,mexico,1645352,1293116,162026,2854429
17,PL/1025/EXP/ES/2015,800590,22/08/24,26.14913978,25.16365591,1.039150538,0,9.397333333,0,0,4,1,15,santa ana,sonora,16203,11488,372609,1118919
18,PL/1026/EXP/ES/2015,149201,21/08/24,25.28111111,25.64255556,0.985922222,90,4.889310345,3,5,12,0,0,leon,guanajuato,1721215,698529,231175,1457908
19,PL/1027/EXP/ES/2015,198420,31/08/24,25.07387097,25.50274194,0.983209677,27,4.586333333,3,4,13,0,0,leon,guanajuato,1721215,698529,231175,1457908
20,PL/1028/EXP/ES/2015,281241,17/08/24,25.07548387,25.10451613,0.998758065,10,5.877666667,0,3,2,3,1,actopan,hidalgo,61002,17297,172978,558203
21,PL/1029/EXP/ES/2015,178876,01/08/24,24.11903226,23.90516129,1.008758065,7,5.656666667,4,8,8,0,0,mexicali,baja california,1049792,736892,325390,1233847
22,PL/1030/EXP/ES/2015,347041,26/08/24,24.69107527,24.7816129,0.996473118,3,6.191333333,3,1,1,1,8,mexicali,baja california,1049792,736892,325390,1233847
